역명,일자, 이용인원 , 승차인원 , 하차인원 
검암,2023-06-16,6201,3335,2866
검바위,2023-06-16,7755,3735,4020
아시아드경기장(공촌사거리),2023-06-16,9670,5216,4454
서구청,2023-06-16,18212,8910,9302
가정(루원시티),2023-06-16,24311,12527,11784
가정중앙시장,2023-06-16,11952,5720,6232
석남(거북시장),2023-06-16,6521,3107,3414
서부여성회관,2023-06-16,8711,4493,4218
인천가좌,2023-06-16,8495,4313,4182
가재울,2023-06-16,7621,3917,3704
주안국가산단,2023-06-16,5710,2796,2914
주안,2023-06-16,16760,7184,9576
시민공원(문화창작지대),2023-06-16,19051,9749,9302
석바위시장,2023-06-16,9294,4445,4849
인천시청,2023-06-16,6959,3307,3652
석천사거리,2023-06-16,9550,4949,4601
모래내시장,2023-06-16,16594,8085,8509
만수,2023-06-16,10678,5562,5116
남동구청,2023-06-16,9317,4874,4443
인천대공원,2023-06-16,5946,3024,2922
운연(서창),2023-06-16,2764,1469,1295
검단오류(검단산업단지),2023-06-17,2211,1186,1025
왕길,2023-06-17,3041,1567,1474
검단사거리,2023-06-17,13934,7201,6733
마전,2023-06-17,6048,3054,2994
완정,2023-06-17,10209,5381,4828
독정,2023-06-17,5226,2577,2649
검암,2023-06-17,4792,2529,2263
검바위,2023-06-17,3961,1936,2025
아시아드경기장(공촌사거리),2023-06-17,7169,3655,3514
서구청,2023-06-17,11609,5801,5808
가정(루원시티),2023-06-17,14979,7781,7198
가정중앙시장,2023-06-17,9673,4755,4918
석남(거북시장),2023-06-17,4739,2287,2452
서부여성회관,2023-06-17,6457,3329,3128
인천가좌,2023-06-17,4892,2532,2360
가재울,2023-06-17,4448,2261,2187
주안국가산단,2023-06-17,1445,732,713
주안,2023-06-17,13858,5672,8186
시민공원(문화창작지대),2023-06-17,13449,6922,6527
석바위시장,2023-06-17,6450,3151,3299
인천시청,2023-06-17,5028,2403,2625
석천사거리,2023-06-17,6543,3504,3039
모래내시장,2023-06-17,13298,6524,6774
만수,2023-06-17,7945,4065,3880
남동구청,2023-06-17,5945,3089,2856
인천대공원,2023-06-17,7733,3818,3915
운연(서창),2023-06-17,1857,983,874
검단오류(검단산업단지),2023-06-18,1479,690,789
왕길,2023-06-18,2011,1002,1009
검단사거리,2023-06-18,10241,5148,5093
마전,2023-06-18,4304,2081,2223
완정,2023-06-18,7214,3701,3513
독정,2023-06-18,3753,1795,1958
검암,2023-06-18,3666,1949,1717
검바위,2023-06-18,3157,1501,1656
아시아드경기장(공촌사거리),2023-06-18,5161,2725,2436
서구청,2023-06-18,7914,3973,3941
가정(루원시티),2023-06-18,10244,5177,5067
가정중앙시장,2023-06-18,7005,3404,3601
석남(거북시장),2023-06-18,3515,1643,1872
서부여성회관,2023-06-18,5055,2612,2443
인천가좌,2023-06-18,3298,1611,1687
가재울,2023-06-18,3354,1659,1695
주안국가산단,2023-06-18,667,326,341
주안,2023-06-18,9863,4025,5838
시민공원(문화창작지대),2023-06-18,10279,5303,4976
석바위시장,2023-06-18,4764,2352,2412
인천시청,2023-06-18,3821,1853,1968
석천사거리,2023-06-18,4803,2554,2249
모래내시장,2023-06-18,10083,4908,5175
만수,2023-06-18,6034,3131,2903
남동구청,2023-06-18,4325,2204,2121
인천대공원,2023-06-18,6696,3310,3386
운연(서창),2023-06-18,1427,741,686
검단오류(검단산업단지),2023-06-19,5905,2915,2990
왕길,2023-06-19,5230,2661,2569
검단사거리,2023-06-19,16529,8636,7893
마전,2023-06-19,8897,4332,4565
완정,2023-06-19,14811,7701,7110
독정,2023-06-19,7758,3878,3880
검암,2023-06-19,5757,3091,2666
검바위,2023-06-19,7429,3529,3900
아시아드경기장(공촌사거리),2023-06-19,9507,5058,4449
서구청,2023-06-19,16943,8438,8505
가정(루원시티),2023-06-19,22775,11687,11088
가정중앙시장,2023-06-19,10829,5201,5628
석남(거북시장),2023-06-19,6142,2987,3155
서부여성회관,2023-06-19,7876,4038,3838
인천가좌,2023-06-19,8549,4298,4251
가재울,2023-06-19,7357,3759,3598
주안국가산단,2023-06-19,5507,2665,2842
